id,maint,doors,persons,lugboot,safety,buying
179,high,4,4,big,med,vhigh
180,high,4,4,big,high,vhigh
181,high,4,more,small,low,vhigh
182,high,4,more,small,med,vhigh
183,high,4,more,small,high,vhigh
184,high,4,more,med,low,vhigh
185,high,4,more,med,med,vhigh
186,high,4,more,med,high,vhigh
187,high,4,more,big,low,vhigh
188,high,4,more,big,med,vhigh
189,high,4,more,big,high,vhigh
190,high,morethanfive,2,small,low,vhigh
191,high,morethanfive,2,small,med,vhigh
192,high,morethanfive,2,small,high,vhigh
193,high,morethanfive,2,med,low,vhigh
194,high,morethanfive,2,med,med,vhigh
195,high,morethanfive,2,med,high,vhigh
196,high,morethanfive,2,big,low,vhigh
197,high,morethanfive,2,big,med,vhigh
198,high,morethanfive,2,big,high,vhigh
199,high,morethanfive,4,small,low,vhigh
200,high,morethanfive,4,small,med,vhigh
201,high,morethanfive,4,small,high,vhigh
202,high,morethanfive,4,med,low,vhigh
203,high,morethanfive,4,med,med,vhigh
204,high,morethanfive,4,med,high,vhigh
205,high,morethanfive,4,big,low,vhigh
206,high,morethanfive,4,big,med,vhigh
207,high,morethanfive,4,big,high,vhigh
208,high,morethanfive,more,small,low,vhigh
209,high,morethanfive,more,small,med,vhigh
210,high,morethanfive,more,small,high,vhigh
211,high,morethanfive,more,med,low,vhigh
212,high,morethanfive,more,med,med,vhigh
213,high,morethanfive,more,med,high,vhigh
214,high,morethanfive,more,big,low,vhigh
215,high,morethanfive,more,big,med,vhigh
216,high,morethanfive,more,big,high,vhigh
217,med,2,2,small,low,vhigh
218,med,2,2,small,med,vhigh
219,med,2,2,small,high,vhigh
220,med,2,2,med,low,vhigh
221,med,2,2,med,med,vhigh
222,med,2,2,med,high,vhigh
223,med,2,2,big,low,vhigh
224,med,2,2,big,med,vhigh
225,med,2,2,big,high,vhigh
226,med,2,4,small,low,vhigh
227,med,2,4,small,med,vhigh
228,med,2,4,small,high,vhigh
229,med,2,4,med,low,vhigh
230,med,2,4,med,med,vhigh
231,med,2,4,med,high,vhigh
232,med,2,4,big,low,vhigh
233,med,2,4,big,med,vhigh
234,med,2,4,big,high,vhigh
235,med,2,more,small,low,vhigh
236,med,2,more,small,med,vhigh
237,med,2,more,small,high,vhigh
238,med,2,more,med,low,vhigh
239,med,2,more,med,med,vhigh
240,med,2,more,med,high,vhigh
241,med,2,more,big,low,vhigh
242,med,2,more,big,med,vhigh
243,med,2,more,big,high,vhigh
244,med,3,2,small,low,vhigh
245,med,3,2,small,med,vhigh
246,med,3,2,small,high,vhigh
247,med,3,2,med,low,vhigh
248,med,3,2,med,med,vhigh
249,med,3,2,med,high,vhigh
250,med,3,2,big,low,vhigh
251,med,3,2,big,med,vhigh
252,med,3,2,big,high,vhigh
253,med,3,4,small,low,vhigh
254,med,3,4,small,med,vhigh
255,med,3,4,small,high,vhigh
256,med,3,4,med,low,vhigh
257,med,3,4,med,med,vhigh
258,med,3,4,med,high,vhigh
259,med,3,4,big,low,vhigh
260,med,3,4,big,med,vhigh
261,med,3,4,big,high,vhigh
262,med,3,more,small,low,vhigh
263,med,3,more,small,med,vhigh
264,med,3,more,small,high,vhigh
265,med,3,more,med,low,vhigh
266,med,3,more,med,med,vhigh
267,med,3,more,med,high,vhigh
268,med,3,more,big,low,vhigh
269,med,3,more,big,med,vhigh
270,med,3,more,big,high,vhigh
271,med,4,2,small,low,vhigh
272,med,4,2,small,med,vhigh
273,med,4,2,small,high,vhigh
274,med,4,2,med,low,vhigh
275,med,4,2,med,med,vhigh
276,med,4,2,med,high,vhigh
277,med,4,2,big,low,vhigh
278,med,4,2,big,med,vhigh
279,med,4,2,big,high,vhigh
280,med,4,4,small,low,vhigh
281,med,4,4,small,med,vhigh
282,med,4,4,small,high,vhigh
283,med,4,4,med,low,vhigh
284,med,4,4,med,med,vhigh
285,med,4,4,med,high,vhigh
286,med,4,4,big,low,vhigh
287,med,4,4,big,med,vhigh
288,med,4,4,big,high,vhigh
289,med,4,more,small,low,vhigh
290,med,4,more,small,med,vhigh
291,med,4,more,small,high,vhigh
292,med,4,more,med,low,vhigh
293,med,4,more,med,med,vhigh
294,med,4,more,med,high,vhigh
295,med,4,more,big,low,vhigh
296,med,4,more,big,med,vhigh
297,med,4,more,big,high,vhigh
298,med,morethanfive,2,small,low,vhigh
299,med,morethanfive,2,small,med,vhigh
300,med,morethanfive,2,small,high,vhigh
301,med,morethanfive,2,med,low,vhigh
302,med,morethanfive,2,med,med,vhigh
303,med,morethanfive,2,med,high,vhigh
304,med,morethanfive,2,big,low,vhigh
305,med,morethanfive,2,big,med,vhigh
306,med,morethanfive,2,big,high,vhigh
307,med,morethanfive,4,small,low,vhigh
308,med,morethanfive,4,small,med,vhigh
309,med,morethanfive,4,small,high,vhigh
310,med,morethanfive,4,med,low,vhigh
311,med,morethanfive,4,med,med,vhigh
312,med,morethanfive,4,med,high,vhigh
313,med,morethanfive,4,big,low,vhigh
314,med,morethanfive,4,big,med,vhigh
315,med,morethanfive,4,big,high,vhigh
316,med,morethanfive,more,small,low,vhigh
317,med,morethanfive,more,small,med,vhigh
318,med,morethanfive,more,small,high,vhigh
319,med,morethanfive,more,med,low,vhigh
320,med,morethanfive,more,med,med,vhigh
321,med,morethanfive,more,med,high,vhigh
322,med,morethanfive,more,big,low,vhigh
323,med,morethanfive,more,big,med,vhigh
324,med,morethanfive,more,big,high,vhigh
325,low,2,2,small,low,vhigh
326,low,2,2,small,med,vhigh
327,low,2,2,small,high,vhigh
328,low,2,2,med,low,vhigh
329,low,2,2,med,med,vhigh
330,low,2,2,med,high,vhigh
331,low,2,2,big,low,vhigh
332,low,2,2,big,med,vhigh
333,low,2,2,big,high,vhigh
334,low,2,4,small,low,vhigh
335,low,2,4,small,med,vhigh
336,low,2,4,small,high,vhigh
337,low,2,4,med,low,vhigh
338,low,2,4,med,med,vhigh
339,low,2,4,med,high,vhigh
340,low,2,4,big,low,vhigh
341,low,2,4,big,med,vhigh
342,low,2,4,big,high,vhigh
343,low,2,more,small,low,vhigh
344,low,2,more,small,med,vhigh
345,low,2,more,small,high,vhigh
346,low,2,more,med,low,vhigh
347,low,2,more,med,med,vhigh
348,low,2,more,med,high,vhigh
349,low,2,more,big,low,vhigh
350,low,2,more,big,med,vhigh
351,low,2,more,big,high,vhigh
352,low,3,2,small,low,vhigh
353,low,3,2,small,med,vhigh
354,low,3,2,small,high,vhigh
355,low,3,2,med,low,vhigh
356,low,3,2,med,med,vhigh
357,low,3,2,med,high,vhigh
358,low,3,2,big,low,vhigh
359,low,3,2,big,med,vhigh
360,low,3,2,big,high,vhigh
361,low,3,4,small,low,vhigh
362,low,3,4,small,med,vhigh
363,low,3,4,small,high,vhigh
364,low,3,4,med,low,vhigh
365,low,3,4,med,med,vhigh
366,low,3,4,med,high,vhigh
367,low,3,4,big,low,vhigh
368,low,3,4,big,med,vhigh
369,low,3,4,big,high,vhigh
370,low,3,more,small,low,vhigh
371,low,3,more,small,med,vhigh
372,low,3,more,small,high,vhigh
373,low,3,more,med,low,vhigh
374,low,3,more,med,med,vhigh
375,low,3,more,med,high,vhigh
376,low,3,more,big,low,vhigh
377,low,3,more,big,med,vhigh
378,low,3,more,big,high,vhigh
379,low,4,2,small,low,vhigh
380,low,4,2,small,med,vhigh
381,low,4,2,small,high,vhigh
382,low,4,2,med,low,vhigh
383,low,4,2,med,med,vhigh
384,low,4,2,med,high,vhigh
385,low,4,2,big,low,vhigh
386,low,4,2,big,med,vhigh
387,low,4,2,big,high,vhigh
388,low,4,4,small,low,vhigh
389,low,4,4,small,med,vhigh
390,low,4,4,small,high,vhigh
391,low,4,4,med,low,vhigh
392,low,4,4,med,med,vhigh
393,low,4,4,med,high,vhigh
394,low,4,4,big,low,vhigh
395,low,4,4,big,med,vhigh
396,low,4,4,big,high,vhigh
397,low,4,more,small,low,vhigh
398,low,4,more,small,med,vhigh
399,low,4,more,small,high,vhigh
400,low,4,more,med,low,vhigh
401,low,4,more,med,med,vhigh
402,low,4,more,med,high,vhigh
403,low,4,more,big,low,vhigh
404,low,4,more,big,med,vhigh
405,low,4,more,big,high,vhigh
406,low,morethanfive,2,small,low,vhigh
407,low,morethanfive,2,small,med,vhigh
408,low,morethanfive,2,small,high,vhigh
409,low,morethanfive,2,med,low,vhigh
410,low,morethanfive,2,med,med,vhigh
411,low,morethanfive,2,med,high,vhigh
412,low,morethanfive,2,big,low,vhigh
413,low,morethanfive,2,big,med,vhigh
414,low,morethanfive,2,big,high,vhigh
415,low,morethanfive,4,small,low,vhigh
416,low,morethanfive,4,small,med,vhigh
417,low,morethanfive,4,small,high,vhigh
418,low,morethanfive,4,med,low,vhigh
419,low,morethanfive,4,med,med,vhigh
420,low,morethanfive,4,med,high,vhigh
421,low,morethanfive,4,big,low,vhigh
422,low,morethanfive,4,big,med,vhigh
423,low,morethanfive,4,big,high,vhigh
424,low,morethanfive,more,small,low,vhigh
425,low,morethanfive,more,small,med,vhigh
426,low,morethanfive,more,small,high,vhigh
427,low,morethanfive,more,med,low,vhigh
428,low,morethanfive,more,med,med,vhigh
429,low,morethanfive,more,med,high,vhigh
430,low,morethanfive,more,big,low,vhigh
431,low,morethanfive,more,big,med,vhigh
432,low,morethanfive,more,big,high,vhigh
433,vhigh,2,2,small,low,high
434,vhigh,2,2,small,med,high
435,vhigh,2,2,small,high,high
436,vhigh,2,2,med,low,high
437,vhigh,2,2,med,med,high
438,vhigh,2,2,med,high,high
439,vhigh,2,2,big,low,high
440,vhigh,2,2,big,med,high
441,vhigh,2,2,big,high,high
442,vhigh,2,4,small,low,high
443,vhigh,2,4,small,med,high
444,vhigh,2,4,small,high,high
445,vhigh,2,4,med,low,high
446,vhigh,2,4,med,med,high
447,vhigh,2,4,med,high,high
448,vhigh,2,4,big,low,high
449,vhigh,2,4,big,med,high
450,vhigh,2,4,big,high,high
451,vhigh,2,more,small,low,high
452,vhigh,2,more,small,med,high
453,vhigh,2,more,small,high,high
454,vhigh,2,more,med,low,high
455,vhigh,2,more,med,med,high
456,vhigh,2,more,med,high,high
457,vhigh,2,more,big,low,high
458,vhigh,2,more,big,med,high
459,vhigh,2,more,big,high,high
460,vhigh,3,2,small,low,high
461,vhigh,3,2,small,med,high
462,vhigh,3,2,small,high,high
463,vhigh,3,2,med,low,high
464,vhigh,3,2,med,med,high
465,vhigh,3,2,med,high,high
466,vhigh,3,2,big,low,high
467,vhigh,3,2,big,med,high
468,vhigh,3,2,big,high,high
469,vhigh,3,4,small,low,high
470,vhigh,3,4,small,med,high
471,vhigh,3,4,small,high,high
472,vhigh,3,4,med,low,high
473,vhigh,3,4,med,med,high
474,vhigh,3,4,med,high,high
475,vhigh,3,4,big,low,high
476,vhigh,3,4,big,med,high
477,vhigh,3,4,big,high,high
478,vhigh,3,more,small,low,high
479,vhigh,3,more,small,med,high
480,vhigh,3,more,small,high,high
481,vhigh,3,more,med,low,high
482,vhigh,3,more,med,med,high
483,vhigh,3,more,med,high,high
484,vhigh,3,more,big,low,high
485,vhigh,3,more,big,med,high
486,vhigh,3,more,big,high,high
487,vhigh,4,2,small,low,high
488,vhigh,4,2,small,med,high
489,vhigh,4,2,small,high,high
490,vhigh,4,2,med,low,high
491,vhigh,4,2,med,med,high
492,vhigh,4,2,med,high,high
493,vhigh,4,2,big,low,high
494,vhigh,4,2,big,med,high
495,vhigh,4,2,big,high,high
496,vhigh,4,4,small,low,high
497,vhigh,4,4,small,med,high
498,vhigh,4,4,small,high,high
499,vhigh,4,4,med,low,high
500,vhigh,4,4,med,med,high
501,vhigh,4,4,med,high,high
502,vhigh,4,4,big,low,high
503,vhigh,4,4,big,med,high
504,vhigh,4,4,big,high,high
505,vhigh,4,more,small,low,high
506,vhigh,4,more,small,med,high
507,vhigh,4,more,small,high,high
508,vhigh,4,more,med,low,high
509,vhigh,4,more,med,med,high
510,vhigh,4,more,med,high,high
511,vhigh,4,more,big,low,high
512,vhigh,4,more,big,med,high
513,vhigh,4,more,big,high,high
514,vhigh,morethanfive,2,small,low,high
515,vhigh,morethanfive,2,small,med,high
516,vhigh,morethanfive,2,small,high,high
517,vhigh,morethanfive,2,med,low,high
518,vhigh,morethanfive,2,med,med,high
519,vhigh,morethanfive,2,med,high,high
520,vhigh,morethanfive,2,big,low,high
521,vhigh,morethanfive,2,big,med,high
522,vhigh,morethanfive,2,big,high,high
523,vhigh,morethanfive,4,small,low,high
524,vhigh,morethanfive,4,small,med,high
525,vhigh,morethanfive,4,small,high,high
526,vhigh,morethanfive,4,med,low,high
527,vhigh,morethanfive,4,med,med,high
528,vhigh,morethanfive,4,med,high,high
529,vhigh,morethanfive,4,big,low,high
530,vhigh,morethanfive,4,big,med,high
531,vhigh,morethanfive,4,big,high,high
532,vhigh,morethanfive,more,small,low,high
533,vhigh,morethanfive,more,small,med,high
534,vhigh,morethanfive,more,small,high,high
535,vhigh,morethanfive,more,med,low,high
536,vhigh,morethanfive,more,med,med,high
537,vhigh,morethanfive,more,med,high,high
538,vhigh,morethanfive,more,big,low,high
539,vhigh,morethanfive,more,big,med,high
540,vhigh,morethanfive,more,big,high,high
541,high,2,2,small,low,high
542,high,2,2,small,med,high
543,high,2,2,small,high,high
544,high,2,2,med,low,high
545,high,2,2,med,med,high
546,high,2,2,med,high,high
547,high,2,2,big,low,high
548,high,2,2,big,med,high
549,high,2,2,big,high,high
550,high,2,4,small,low,high
551,high,2,4,small,med,high
552,high,2,4,small,high,high
553,high,2,4,med,low,high
554,high,2,4,med,med,high
555,high,2,4,med,high,high
556,high,2,4,big,low,high
557,high,2,4,big,med,high
558,high,2,4,big,high,high
559,high,2,more,small,low,high
560,high,2,more,small,med,high
561,high,2,more,small,high,high
562,high,2,more,med,low,high
563,high,2,more,med,med,high
564,high,2,more,med,high,high
565,high,2,more,big,low,high
566,high,2,more,big,med,high
567,high,2,more,big,high,high
568,high,3,2,small,low,high
569,high,3,2,small,med,high
570,high,3,2,small,high,high
571,high,3,2,med,low,high
572,high,3,2,med,med,high
573,high,3,2,med,high,high
574,high,3,2,big,low,high
575,high,3,2,big,med,high
576,high,3,2,big,high,high
577,high,3,4,small,low,high
578,high,3,4,small,med,high
579,high,3,4,small,high,high
580,high,3,4,med,low,high
581,high,3,4,med,med,high
582,high,3,4,med,high,high
583,high,3,4,big,low,high
584,high,3,4,big,med,high
585,high,3,4,big,high,high
586,high,3,more,small,low,high
587,high,3,more,small,med,high
588,high,3,more,small,high,high
589,high,3,more,med,low,high
590,high,3,more,med,med,high
591,high,3,more,med,high,high
592,high,3,more,big,low,high
593,high,3,more,big,med,high
594,high,3,more,big,high,high
595,high,4,2,small,low,high
596,high,4,2,small,med,high
597,high,4,2,small,high,high
598,high,4,2,med,low,high
599,high,4,2,med,med,high
600,high,4,2,med,high,high
601,high,4,2,big,low,high
602,high,4,2,big,med,high
603,high,4,2,big,high,high
604,high,4,4,small,low,high
605,high,4,4,small,med,high
606,high,4,4,small,high,high
607,high,4,4,med,low,high
608,high,4,4,med,med,high
609,high,4,4,med,high,high
610,high,4,4,big,low,high
611,high,4,4,big,med,high
612,high,4,4,big,high,high
613,high,4,more,small,low,high
614,high,4,more,small,med,high
615,high,4,more,small,high,high
616,high,4,more,med,low,high
617,high,4,more,med,med,high
618,high,4,more,med,high,high
619,high,4,more,big,low,high
620,high,4,more,big,med,high
621,high,4,more,big,high,high
622,high,morethanfive,2,small,low,high
623,high,morethanfive,2,small,med,high
624,high,morethanfive,2,small,high,high
625,high,morethanfive,2,med,low,high
626,high,morethanfive,2,med,med,high
627,high,morethanfive,2,med,high,high
628,high,morethanfive,2,big,low,high
629,high,morethanfive,2,big,med,high
630,high,morethanfive,2,big,high,high
631,high,morethanfive,4,small,low,high
632,high,morethanfive,4,small,med,high
633,high,morethanfive,4,small,high,high
634,high,morethanfive,4,med,low,high
635,high,morethanfive,4,med,med,high
636,high,morethanfive,4,med,high,high
637,high,morethanfive,4,big,low,high
638,high,morethanfive,4,big,med,high
639,high,morethanfive,4,big,high,high
640,high,morethanfive,more,small,low,high
641,high,morethanfive,more,small,med,high
642,high,morethanfive,more,small,high,high
643,high,morethanfive,more,med,low,high
644,high,morethanfive,more,med,med,high
645,high,morethanfive,more,med,high,high
646,high,morethanfive,more,big,low,high
647,high,morethanfive,more,big,med,high
648,high,morethanfive,more,big,high,high
649,med,2,2,small,low,high
650,med,2,2,small,med,high
651,med,2,2,small,high,high
652,med,2,2,med,low,high
653,med,2,2,med,med,high
654,med,2,2,med,high,high
655,med,2,2,big,low,high
656,med,2,2,big,med,high
657,med,2,2,big,high,high
658,med,2,4,small,low,high
659,med,2,4,small,med,high
660,med,2,4,small,high,high
661,med,2,4,med,low,high
662,med,2,4,med,med,high
663,med,2,4,med,high,high
664,med,2,4,big,low,high
665,med,2,4,big,med,high
666,med,2,4,big,high,high
667,med,2,more,small,low,high
668,med,2,more,small,med,high
669,med,2,more,small,high,high
670,med,2,more,med,low,high
671,med,2,more,med,med,high
672,med,2,more,med,high,high
673,med,2,more,big,low,high
674,med,2,more,big,med,high
675,med,2,more,big,high,high
676,med,3,2,small,low,high
677,med,3,2,small,med,high
678,med,3,2,small,high,high
679,med,3,2,med,low,high
680,med,3,2,med,med,high
681,med,3,2,med,high,high
682,med,3,2,big,low,high
683,med,3,2,big,med,high
684,med,3,2,big,high,high
685,med,3,4,small,low,high
686,med,3,4,small,med,high
687,med,3,4,small,high,high
688,med,3,4,med,low,high
689,med,3,4,med,med,high
690,med,3,4,med,high,high
691,med,3,4,big,low,high
692,med,3,4,big,med,high
693,med,3,4,big,high,high
694,med,3,more,small,low,high
695,med,3,more,small,med,high
696,med,3,more,small,high,high
697,med,3,more,med,low,high
698,med,3,more,med,med,high
699,med,3,more,med,high,high
700,med,3,more,big,low,high
701,med,3,more,big,med,high
702,med,3,more,big,high,high
703,med,4,2,small,low,high
704,med,4,2,small,med,high
705,med,4,2,small,high,high
706,med,4,2,med,low,high
707,med,4,2,med,med,high
708,med,4,2,med,high,high
709,med,4,2,big,low,high
710,med,4,2,big,med,high
711,med,4,2,big,high,high
712,med,4,4,small,low,high
713,med,4,4,small,med,high
714,med,4,4,small,high,high
715,med,4,4,med,low,high
716,med,4,4,med,med,high
717,med,4,4,med,high,high
718,med,4,4,big,low,high
719,med,4,4,big,med,high
720,med,4,4,big,high,high
721,med,4,more,small,low,high
722,med,4,more,small,med,high
723,med,4,more,small,high,high
724,med,4,more,med,low,high
725,med,4,more,med,med,high
726,med,4,more,med,high,high
727,med,4,more,big,low,high
728,med,4,more,big,med,high
729,med,4,more,big,high,high
730,med,morethanfive,2,small,low,high
731,med,morethanfive,2,small,med,high
732,med,morethanfive,2,small,high,high
733,med,morethanfive,2,med,low,high
734,med,morethanfive,2,med,med,high
735,med,morethanfive,2,med,high,high
736,med,morethanfive,2,big,low,high
737,med,morethanfive,2,big,med,high
738,med,morethanfive,2,big,high,high
739,med,morethanfive,4,small,low,high
740,med,morethanfive,4,small,med,high
741,med,morethanfive,4,small,high,high
742,med,morethanfive,4,med,low,high
743,med,morethanfive,4,med,med,high
744,med,morethanfive,4,med,high,high
745,med,morethanfive,4,big,low,high
746,med,morethanfive,4,big,med,high
747,med,morethanfive,4,big,high,high
748,med,morethanfive,more,small,low,high
749,med,morethanfive,more,small,med,high
750,med,morethanfive,more,small,high,high
751,med,morethanfive,more,med,low,high
752,med,morethanfive,more,med,med,high
753,med,morethanfive,more,med,high,high
754,med,morethanfive,more,big,low,high
755,med,morethanfive,more,big,med,high
756,med,morethanfive,more,big,high,high
757,low,2,2,small,low,high
758,low,2,2,small,med,high
759,low,2,2,small,high,high
760,low,2,2,med,low,high
761,low,2,2,med,med,high
762,low,2,2,med,high,high
763,low,2,2,big,low,high
764,low,2,2,big,med,high
765,low,2,2,big,high,high
766,low,2,4,small,low,high
767,low,2,4,small,med,high
768,low,2,4,small,high,high
769,low,2,4,med,low,high
770,low,2,4,med,med,high
771,low,2,4,med,high,high
772,low,2,4,big,low,high
773,low,2,4,big,med,high
774,low,2,4,big,high,high
775,low,2,more,small,low,high
776,low,2,more,small,med,high
777,low,2,more,small,high,high
778,low,2,more,med,low,high
779,low,2,more,med,med,high
780,low,2,more,med,high,high
781,low,2,more,big,low,high
782,low,2,more,big,med,high
783,low,2,more,big,high,high
784,low,3,2,small,low,high
785,low,3,2,small,med,high
786,low,3,2,small,high,high
787,low,3,2,med,low,high
788,low,3,2,med,med,high
789,low,3,2,med,high,high
790,low,3,2,big,low,high
791,low,3,2,big,med,high
792,low,3,2,big,high,high
793,low,3,4,small,low,high
794,low,3,4,small,med,high
795,low,3,4,small,high,high
796,low,3,4,med,low,high
797,low,3,4,med,med,high
798,low,3,4,med,high,high
799,low,3,4,big,low,high
800,low,3,4,big,med,high
801,low,3,4,big,high,high
802,low,3,more,small,low,high
803,low,3,more,small,med,high
804,low,3,more,small,high,high
