,Checking_account_status,Duration_months,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate,Personal_status,Other_debtors,Present_residence_since,Property,Age_years,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker,Label
48,0equalsless_than_and_less_than200,9,existing_dues_cleared_for_now,business,1391,less_than100,1equalsless_than_and_less_than4,2,male-married/widowed,none,1,real_estate,27,bank,own,1,skilled_employee/official,1,yes,no,good
49,0equalsless_than_and_less_than200,15,critical_account,radio/television,1537,unknown_or_no_savings_account,greater_than7,4,male-single,guarantor,4,real_estate,50,none,own,2,skilled_employee/official,1,yes,no,good
50,0equalsless_than_and_less_than200,36,none_taken/all_dues_cleared,business,1953,less_than100,greater_than7,4,male-single,none,4,unknown/no_property,61,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
51,0equalsless_than_and_less_than200,48,none_taken/all_dues_cleared,business,14421,less_than100,1equalsless_than_and_less_than4,2,male-single,none,2,car_or_other,25,none,own,1,skilled_employee/official,1,yes,no,bad
52,no_checking_account,24,existing_dues_cleared_for_now,radio/television,3181,less_than100,less_than1,4,female-divorced/separated/married,none,4,building_society/savings_agreement/life_insurance,26,none,own,1,skilled_employee/official,1,yes,no,good
53,no_checking_account,12,existing_dues_cleared_for_now,radio/television,2171,less_than100,less_than1,2,female-divorced/separated/married,none,2,car_or_other,29,bank,own,1,skilled_employee/official,1,no,no,good
54,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,car_(new),1007,greater_than1000,1equalsless_than_and_less_than4,4,male-married/widowed,none,1,real_estate,22,none,own,1,skilled_employee/official,1,no,no,good
55,no_checking_account,36,existing_dues_cleared_for_now,education,1819,less_than100,1equalsless_than_and_less_than4,4,male-single,none,4,unknown/no_property,37,stores,for_free,1,skilled_employee/official,1,yes,no,bad
56,no_checking_account,36,existing_dues_cleared_for_now,car_(used),8133,less_than100,1equalsless_than_and_less_than4,1,female-divorced/separated/married,none,2,building_society/savings_agreement/life_insurance,30,bank,own,1,skilled_employee/official,1,no,no,good
57,0equalsless_than_and_less_than200,42,critical_account,business,5954,less_than100,4equalsless_than_and_less_than7,2,female-divorced/separated/married,none,1,real_estate,41,bank,own,2,unskilled-resident,1,no,no,good
58,less_than0,36,existing_dues_cleared_for_now,education,1977,unknown_or_no_savings_account,greater_than7,4,male-single,none,4,unknown/no_property,40,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
59,less_than0,12,critical_account,car_(used),1526,less_than100,greater_than7,4,male-single,none,4,unknown/no_property,66,none,for_free,2,management/self-employed/highly_qualified/officer,1,no,no,good
60,less_than0,42,existing_dues_cleared_for_now,radio/television,3965,less_than100,less_than1,4,male-single,none,3,car_or_other,34,none,own,1,skilled_employee/official,1,no,no,bad
61,0equalsless_than_and_less_than200,11,delay_in_paying_off,radio/television,4771,less_than100,4equalsless_than_and_less_than7,2,male-single,none,4,building_society/savings_agreement/life_insurance,51,none,own,1,skilled_employee/official,1,no,no,good
62,no_checking_account,54,none_taken/all_dues_cleared,car_(used),9436,unknown_or_no_savings_account,1equalsless_than_and_less_than4,2,male-single,none,2,building_society/savings_agreement/life_insurance,39,none,own,1,unskilled-resident,2,no,no,good
63,0equalsless_than_and_less_than200,30,existing_dues_cleared_for_now,furniture/equipment,3832,less_than100,less_than1,2,male-married/widowed,none,1,building_society/savings_agreement/life_insurance,22,none,own,1,skilled_employee/official,1,no,no,good
64,no_checking_account,18,existing_dues_cleared_for_now,business,1568,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,3,female-divorced/separated/married,none,4,building_society/savings_agreement/life_insurance,24,none,rent,1,unskilled-resident,1,no,no,good
65,less_than0,24,existing_dues_cleared_for_now,others,1755,less_than100,greater_than7,4,female-divorced/separated/married,guarantor,4,real_estate,58,none,own,1,unskilled-resident,1,yes,no,good
66,no_checking_account,12,critical_account,business,1412,less_than100,1equalsless_than_and_less_than4,4,female-divorced/separated/married,guarantor,2,real_estate,29,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,good
67,0equalsless_than_and_less_than200,18,critical_account,furniture/equipment,1295,less_than100,less_than1,4,female-divorced/separated/married,none,1,building_society/savings_agreement/life_insurance,27,none,own,2,skilled_employee/official,1,no,no,good
68,0equalsless_than_and_less_than200,36,existing_dues_cleared_for_now,education,12612,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,1,male-single,none,4,unknown/no_property,47,none,for_free,1,skilled_employee/official,2,yes,no,bad
69,less_than0,18,existing_dues_cleared_for_now,car_(new),2249,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,4,male-single,none,3,car_or_other,30,none,own,1,management/self-employed/highly_qualified/officer,2,yes,no,good
70,no_checking_account,12,critical_account,radio/television,797,unknown_or_no_savings_account,greater_than7,4,female-divorced/separated/married,none,3,building_society/savings_agreement/life_insurance,33,bank,own,1,unskilled-resident,2,no,no,bad
71,greater_than200,24,critical_account,furniture/equipment,3617,unknown_or_no_savings_account,greater_than7,4,male-single,co-applicant,4,unknown/no_property,20,none,rent,2,skilled_employee/official,1,no,no,good
72,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,car_(new),1318,greater_than1000,greater_than7,4,male-single,none,4,real_estate,54,none,own,1,skilled_employee/official,1,yes,no,good
73,0equalsless_than_and_less_than200,54,none_taken/all_dues_cleared,business,15945,less_than100,less_than1,3,male-single,none,4,unknown/no_property,58,none,rent,1,skilled_employee/official,1,yes,no,bad
74,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,business,2622,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,4,male-single,none,4,car_or_other,34,none,own,1,skilled_employee/official,1,no,no,good
75,0equalsless_than_and_less_than200,20,delay_in_paying_off,car_(used),7057,unknown_or_no_savings_account,4equalsless_than_and_less_than7,3,male-single,none,4,building_society/savings_agreement/life_insurance,36,bank,rent,2,management/self-employed/highly_qualified/officer,2,yes,no,good
76,no_checking_account,24,existing_dues_cleared_for_now,car_(new),1469,100equalsless_than_and_less_than500,greater_than7,4,male-married/widowed,none,4,real_estate,41,none,rent,1,unskilled-resident,1,no,no,good
77,0equalsless_than_and_less_than200,36,existing_dues_cleared_for_now,radio/television,2323,less_than100,4equalsless_than_and_less_than7,4,male-single,none,4,car_or_other,24,none,rent,1,skilled_employee/official,1,no,no,good
78,no_checking_account,6,delay_in_paying_off,radio/television,932,less_than100,1equalsless_than_and_less_than4,3,female-divorced/separated/married,none,2,real_estate,24,none,own,1,skilled_employee/official,1,no,no,good
79,no_checking_account,12,existing_dues_cleared_for_now,car_(used),2445,unknown_or_no_savings_account,less_than1,2,male-married/widowed,none,4,car_or_other,26,none,rent,1,skilled_employee/official,1,yes,no,good
80,0equalsless_than_and_less_than200,24,critical_account,others,11938,less_than100,1equalsless_than_and_less_than4,2,male-single,co-applicant,3,car_or_other,39,none,own,2,management/self-employed/highly_qualified/officer,2,yes,no,bad
81,no_checking_account,18,all_dues_atbank_cleared,car_(new),6458,less_than100,greater_than7,2,male-single,none,4,unknown/no_property,39,bank,own,2,management/self-employed/highly_qualified/officer,2,yes,no,bad
82,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,car_(new),6078,less_than100,4equalsless_than_and_less_than7,2,male-single,none,2,car_or_other,32,none,own,1,skilled_employee/official,1,no,no,good
83,less_than0,24,existing_dues_cleared_for_now,furniture/equipment,7721,unknown_or_no_savings_account,less_than1,1,female-divorced/separated/married,none,2,building_society/savings_agreement/life_insurance,30,none,own,1,skilled_employee/official,1,yes,yes,good
84,0equalsless_than_and_less_than200,14,existing_dues_cleared_for_now,business,1410,500equalsless_than_and_less_than1000,greater_than7,1,male-married/widowed,none,2,real_estate,35,none,own,1,skilled_employee/official,1,yes,no,good
85,0equalsless_than_and_less_than200,6,delay_in_paying_off,business,1449,100equalsless_than_and_less_than500,greater_than7,1,male-divorced/separated,none,2,car_or_other,31,bank,own,2,skilled_employee/official,2,no,no,good
86,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,car_(new),6260,less_than100,4equalsless_than_and_less_than7,3,male-single,none,3,real_estate,28,none,rent,1,unskilled-resident,1,no,no,good
87,no_checking_account,36,critical_account,car_(new),7855,less_than100,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,2,real_estate,25,stores,own,2,skilled_employee/official,1,yes,no,bad
88,no_checking_account,48,critical_account,radio/television,3578,unknown_or_no_savings_account,greater_than7,4,male-single,none,1,real_estate,47,none,own,1,skilled_employee/official,1,yes,no,good
89,less_than0,42,existing_dues_cleared_for_now,radio/television,7174,unknown_or_no_savings_account,4equalsless_than_and_less_than7,4,female-divorced/separated/married,none,3,car_or_other,30,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
90,less_than0,33,critical_account,furniture/equipment,4281,500equalsless_than_and_less_than1000,1equalsless_than_and_less_than4,1,female-divorced/separated/married,none,4,car_or_other,23,none,own,2,skilled_employee/official,1,no,no,bad
91,less_than0,21,existing_dues_cleared_for_now,radio/television,1835,less_than100,1equalsless_than_and_less_than4,3,female-divorced/separated/married,none,2,real_estate,25,none,own,2,skilled_employee/official,1,yes,no,bad
92,no_checking_account,24,critical_account,car_(used),3868,less_than100,greater_than7,4,female-divorced/separated/married,none,2,car_or_other,41,none,rent,2,management/self-employed/highly_qualified/officer,1,yes,no,good
93,no_checking_account,12,existing_dues_cleared_for_now,furniture/equipment,1768,less_than100,1equalsless_than_and_less_than4,3,male-single,none,2,real_estate,24,none,rent,1,unskilled-resident,1,no,no,good
94,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,furniture/equipment,1924,unknown_or_no_savings_account,less_than1,4,female-divorced/separated/married,none,3,real_estate,27,none,rent,1,skilled_employee/official,1,no,no,bad
95,less_than0,12,critical_account,car_(new),2121,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,building_society/savings_agreement/life_insurance,30,none,own,2,skilled_employee/official,1,no,no,good
96,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,repairs,639,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,car_or_other,30,none,own,1,skilled_employee/official,1,no,no,bad
97,0equalsless_than_and_less_than200,12,critical_account,car_(used),1860,less_than100,unemployed,4,male-single,none,2,car_or_other,34,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,good
98,less_than0,12,critical_account,car_(new),3499,less_than100,1equalsless_than_and_less_than4,3,female-divorced/separated/married,co-applicant,2,real_estate,29,none,own,2,skilled_employee/official,1,no,no,bad
99,0equalsless_than_and_less_than200,48,existing_dues_cleared_for_now,car_(new),8487,unknown_or_no_savings_account,4equalsless_than_and_less_than7,1,female-divorced/separated/married,none,2,car_or_other,24,none,own,1,skilled_employee/official,1,no,no,good
100,less_than0,36,delay_in_paying_off,education,6887,less_than100,1equalsless_than_and_less_than4,4,male-single,none,3,building_society/savings_agreement/life_insurance,29,stores,own,1,skilled_employee/official,1,yes,no,bad
101,no_checking_account,15,existing_dues_cleared_for_now,furniture/equipment,2708,less_than100,less_than1,2,male-single,none,3,building_society/savings_agreement/life_insurance,27,bank,own,2,unskilled-resident,1,no,no,good
102,no_checking_account,18,existing_dues_cleared_for_now,furniture/equipment,1984,less_than100,1equalsless_than_and_less_than4,4,male-single,none,4,unknown/no_property,47,bank,for_free,2,skilled_employee/official,1,no,no,good
103,no_checking_account,60,existing_dues_cleared_for_now,radio/television,10144,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,2,female-divorced/separated/married,none,4,real_estate,21,none,own,1,skilled_employee/official,1,yes,no,good
104,no_checking_account,12,critical_account,radio/television,1240,unknown_or_no_savings_account,greater_than7,4,female-divorced/separated/married,none,2,real_estate,38,none,own,2,skilled_employee/official,1,yes,no,good
105,no_checking_account,27,delay_in_paying_off,car_(used),8613,greater_than1000,1equalsless_than_and_less_than4,2,male-single,none,2,car_or_other,27,none,own,2,skilled_employee/official,1,no,no,good
106,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,radio/television,766,500equalsless_than_and_less_than1000,1equalsless_than_and_less_than4,4,male-single,none,3,real_estate,66,none,own,1,unskilled-resident,1,no,no,bad
107,0equalsless_than_and_less_than200,15,critical_account,radio/television,2728,unknown_or_no_savings_account,4equalsless_than_and_less_than7,4,male-single,guarantor,2,real_estate,35,bank,own,3,skilled_employee/official,1,yes,no,good
108,greater_than200,12,existing_dues_cleared_for_now,radio/television,1881,less_than100,1equalsless_than_and_less_than4,2,female-divorced/separated/married,none,2,car_or_other,44,none,rent,1,unskilled-resident,1,yes,no,good
109,0equalsless_than_and_less_than200,36,existing_dues_cleared_for_now,radio/television,4795,less_than100,less_than1,4,female-divorced/separated/married,none,1,unknown/no_property,30,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
110,less_than0,18,existing_dues_cleared_for_now,furniture/equipment,2462,less_than100,1equalsless_than_and_less_than4,2,male-single,none,2,car_or_other,22,none,own,1,skilled_employee/official,1,no,no,bad
111,0equalsless_than_and_less_than200,48,all_dues_atbank_cleared,business,3566,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,4,male-single,none,2,car_or_other,30,none,own,1,skilled_employee/official,1,no,no,good
112,no_checking_account,12,critical_account,car_(new),682,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,4,female-divorced/separated/married,none,3,car_or_other,51,none,own,2,skilled_employee/official,1,yes,no,good
113,less_than0,36,critical_account,furniture/equipment,5371,less_than100,1equalsless_than_and_less_than4,3,male-single,guarantor,2,building_society/savings_agreement/life_insurance,28,none,own,2,skilled_employee/official,1,no,no,good
114,no_checking_account,10,existing_dues_cleared_for_now,radio/television,1924,less_than100,1equalsless_than_and_less_than4,1,male-single,none,4,building_society/savings_agreement/life_insurance,38,none,own,1,skilled_employee/official,1,yes,yes,good
115,greater_than200,36,existing_dues_cleared_for_now,radio/television,5848,less_than100,1equalsless_than_and_less_than4,4,male-single,none,1,car_or_other,24,none,own,1,skilled_employee/official,1,no,no,good
116,0equalsless_than_and_less_than200,24,critical_account,car_(used),7758,greater_than1000,greater_than7,2,female-divorced/separated/married,none,4,unknown/no_property,29,none,rent,1,skilled_employee/official,1,no,no,good
117,0equalsless_than_and_less_than200,24,delay_in_paying_off,business,6967,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,4,male-single,none,4,car_or_other,36,none,rent,1,management/self-employed/highly_qualified/officer,1,yes,no,good
118,less_than0,12,existing_dues_cleared_for_now,furniture/equipment,1282,less_than100,1equalsless_than_and_less_than4,2,female-divorced/separated/married,none,4,car_or_other,20,none,rent,1,skilled_employee/official,1,no,no,bad
119,less_than0,9,critical_account,repairs,1288,100equalsless_than_and_less_than500,greater_than7,3,male-single,guarantor,4,real_estate,48,none,own,2,skilled_employee/official,2,no,yes,good
120,less_than0,12,all_dues_atbank_cleared,retraining,339,less_than100,greater_than7,4,male-married/widowed,none,1,car_or_other,45,bank,own,1,unskilled-resident,1,no,no,good
121,0equalsless_than_and_less_than200,24,existing_dues_cleared_for_now,car_(new),3512,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,2,male-single,none,3,car_or_other,38,bank,own,2,skilled_employee/official,1,yes,no,good
122,no_checking_account,6,critical_account,radio/television,1898,unknown_or_no_savings_account,1equalsless_than_and_less_than4,1,male-single,none,2,real_estate,34,none,own,2,unskilled-resident,2,no,no,good
123,no_checking_account,24,critical_account,radio/television,2872,100equalsless_than_and_less_than500,greater_than7,3,male-single,none,4,real_estate,36,none,own,1,skilled_employee/official,2,yes,no,good
124,no_checking_account,18,critical_account,car_(new),1055,less_than100,less_than1,4,female-divorced/separated/married,none,1,building_society/savings_agreement/life_insurance,30,none,own,2,skilled_employee/official,1,no,no,good
125,no_checking_account,15,existing_dues_cleared_for_now,domestic_appliances,1262,500equalsless_than_and_less_than1000,4equalsless_than_and_less_than7,4,male-single,none,3,building_society/savings_agreement/life_insurance,36,none,own,2,skilled_employee/official,1,yes,no,good
126,no_checking_account,36,existing_dues_cleared_for_now,car_(new),909,500equalsless_than_and_less_than1000,greater_than7,4,male-single,none,4,building_society/savings_agreement/life_insurance,36,none,own,1,skilled_employee/official,1,no,no,good
127,no_checking_account,6,existing_dues_cleared_for_now,furniture/equipment,2978,500equalsless_than_and_less_than1000,1equalsless_than_and_less_than4,1,male-single,none,2,car_or_other,32,none,own,1,skilled_employee/official,1,yes,no,good
128,less_than0,18,existing_dues_cleared_for_now,furniture/equipment,1131,less_than100,unemployed,4,female-divorced/separated/married,none,2,car_or_other,33,none,own,1,skilled_employee/official,1,no,no,bad
129,0equalsless_than_and_less_than200,11,existing_dues_cleared_for_now,furniture/equipment,1577,greater_than1000,less_than1,4,female-divorced/separated/married,none,1,real_estate,20,none,own,1,skilled_employee/official,1,no,no,good
130,0equalsless_than_and_less_than200,24,critical_account,business,1935,less_than100,greater_than7,4,male-divorced/separated,none,4,real_estate,31,none,own,2,skilled_employee/official,1,yes,no,bad
131,less_than0,15,none_taken/all_dues_cleared,car_(new),950,less_than100,greater_than7,4,male-single,none,3,car_or_other,33,none,rent,2,skilled_employee/official,2,no,no,bad
132,0equalsless_than_and_less_than200,24,delay_in_paying_off,furniture/equipment,2064,less_than100,unemployed,3,female-divorced/separated/married,none,2,building_society/savings_agreement/life_insurance,34,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
133,0equalsless_than_and_less_than200,8,existing_dues_cleared_for_now,radio/television,1414,less_than100,1equalsless_than_and_less_than4,4,male-single,guarantor,2,real_estate,33,none,own,1,skilled_employee/official,1,no,yes,good
134,less_than0,6,critical_account,radio/television,338,500equalsless_than_and_less_than1000,greater_than7,4,male-single,none,4,car_or_other,52,none,own,2,skilled_employee/official,1,no,no,good
135,no_checking_account,12,existing_dues_cleared_for_now,radio/television,1963,less_than100,4equalsless_than_and_less_than7,4,male-single,none,2,car_or_other,31,none,rent,2,management/self-employed/highly_qualified/officer,2,yes,no,good
136,no_checking_account,36,delay_in_paying_off,business,9572,less_than100,less_than1,1,male-divorced/separated,none,1,car_or_other,28,none,own,2,skilled_employee/official,1,no,no,bad
