Checking_account_status,Duration_months,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate,Personal_status,Other_debtors,Present_residence_since,Property,Age_years,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker,Label
>200,12,all_dues_atbank_cleared,radio/television,409,>1000,1=<_and_<4,3,female-divorced/separated/married,none,3,real_estate,42,none,rent,2,skilled_employee/official,1,no,no,good
0=<_and_<200,7,existing_dues_cleared_for_now,radio/television,2415,<100,1=<_and_<4,3,male-single,guarantor,2,real_estate,34,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,business,1913,>1000,<1,3,male-married/widowed,none,3,real_estate,36,bank,own,1,skilled_employee/official,1,yes,no,good
<0,24,existing_dues_cleared_for_now,furniture/equipment,4020,<100,1=<_and_<4,2,male-single,none,2,car or other,27,stores,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,car (new),5866,100=<_and_<500,1=<_and_<4,2,male-single,none,2,car or other,30,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,12,critical_account,business,1264,unknown_or_no_savings_account,>7,4,male-single,none,4,unknown/no_property,57,none,rent,1,unskilled-resident,1,no,no,good
>200,12,existing_dues_cleared_for_now,furniture/equipment,1474,<100,<1,4,female-divorced/separated/married,none,1,building society/savings agreement/life insurance,33,bank,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
0=<_and_<200,45,critical_account,radio/television,4746,<100,<1,4,male-single,none,2,building society/savings agreement/life insurance,25,none,own,2,unskilled-resident,1,no,no,bad
no_checking_account,48,critical_account,education,6110,<100,1=<_and_<4,1,male-single,none,3,unknown/no_property,31,bank,for_free,1,skilled_employee/official,1,yes,no,good
>200,18,existing_dues_cleared_for_now,radio/television,2100,<100,1=<_and_<4,4,male-single,co-applicant,2,real_estate,37,stores,own,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,9,existing_dues_cleared_for_now,radio/television,458,<100,1=<_and_<4,4,male-single,none,3,real_estate,24,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,30,existing_dues_cleared_for_now,radio/television,2333,500=<_and_<1000,>7,4,male-single,none,2,car or other,30,bank,own,1,management/self-employed/highly_qualified/officer,1,no,no,good
0=<_and_<200,18,delay_in_paying_off,repairs,6204,<100,1=<_and_<4,2,male-single,none,4,real_estate,44,none,own,1,unskilled-resident,2,yes,no,good
no_checking_account,36,existing_dues_cleared_for_now,radio/television,2299,500=<_and_<1000,>7,4,male-single,none,4,car or other,39,none,own,1,skilled_employee/official,1,no,no,good
<0,6,existing_dues_cleared_for_now,car (used),1352,500=<_and_<1000,unemployed,1,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,23,none,rent,1,unemployed/unskilled-non_resident,1,yes,no,good
no_checking_account,11,critical_account,car (new),7228,<100,1=<_and_<4,1,male-single,none,4,building society/savings agreement/life insurance,39,none,own,2,unskilled-resident,1,no,no,good
no_checking_account,12,existing_dues_cleared_for_now,radio/television,2073,100=<_and_<500,1=<_and_<4,4,female-divorced/separated/married,co-applicant,2,real_estate,28,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,24,delay_in_paying_off,furniture/equipment,2333,unknown_or_no_savings_account,<1,4,male-single,none,2,building society/savings agreement/life insurance,29,bank,own,1,unskilled-resident,1,no,no,good
no_checking_account,12,existing_dues_cleared_for_now,radio/television,1262,<100,1=<_and_<4,3,male-single,none,2,car or other,25,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,36,delay_in_paying_off,car (new),2225,<100,>7,4,male-single,none,4,unknown/no_property,57,bank,for_free,2,skilled_employee/official,1,yes,no,bad
no_checking_account,6,all_dues_atbank_cleared,car (new),783,unknown_or_no_savings_account,1=<_and_<4,1,male-single,guarantor,2,real_estate,26,stores,own,1,unskilled-resident,2,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,6468,unknown_or_no_savings_account,unemployed,2,male-single,none,1,unknown/no_property,52,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,36,critical_account,radio/television,9566,<100,1=<_and_<4,2,female-divorced/separated/married,none,2,car or other,31,stores,own,2,skilled_employee/official,1,no,no,good
>200,18,existing_dues_cleared_for_now,car (new),1961,<100,>7,3,female-divorced/separated/married,none,2,car or other,23,none,own,1,management/self-employed/highly_qualified/officer,1,no,no,good
<0,36,critical_account,furniture/equipment,6229,<100,<1,4,female-divorced/separated/married,co-applicant,4,unknown/no_property,23,none,rent,2,unskilled-resident,1,yes,no,bad
0=<_and_<200,9,existing_dues_cleared_for_now,business,1391,<100,1=<_and_<4,2,male-married/widowed,none,1,real_estate,27,bank,own,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,15,critical_account,radio/television,1537,unknown_or_no_savings_account,>7,4,male-single,guarantor,4,real_estate,50,none,own,2,skilled_employee/official,1,yes,no,good
0=<_and_<200,36,none_taken/all_dues_cleared,business,1953,<100,>7,4,male-single,none,4,unknown/no_property,61,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
0=<_and_<200,48,none_taken/all_dues_cleared,business,14421,<100,1=<_and_<4,2,male-single,none,2,car or other,25,none,own,1,skilled_employee/official,1,yes,no,bad
no_checking_account,24,existing_dues_cleared_for_now,radio/television,3181,<100,<1,4,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,26,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,12,existing_dues_cleared_for_now,radio/television,2171,<100,<1,2,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,car (new),1007,>1000,1=<_and_<4,4,male-married/widowed,none,1,real_estate,22,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,36,existing_dues_cleared_for_now,education,1819,<100,1=<_and_<4,4,male-single,none,4,unknown/no_property,37,stores,for_free,1,skilled_employee/official,1,yes,no,bad
no_checking_account,36,existing_dues_cleared_for_now,car (used),8133,<100,1=<_and_<4,1,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,30,bank,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,42,critical_account,business,5954,<100,4=<_and_<7,2,female-divorced/separated/married,none,1,real_estate,41,bank,own,2,unskilled-resident,1,no,no,good
<0,36,existing_dues_cleared_for_now,education,1977,unknown_or_no_savings_account,>7,4,male-single,none,4,unknown/no_property,40,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
<0,12,critical_account,car (used),1526,<100,>7,4,male-single,none,4,unknown/no_property,66,none,for_free,2,management/self-employed/highly_qualified/officer,1,no,no,good
<0,42,existing_dues_cleared_for_now,radio/television,3965,<100,<1,4,male-single,none,3,car or other,34,none,own,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,11,delay_in_paying_off,radio/television,4771,<100,4=<_and_<7,2,male-single,none,4,building society/savings agreement/life insurance,51,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,54,none_taken/all_dues_cleared,car (used),9436,unknown_or_no_savings_account,1=<_and_<4,2,male-single,none,2,building society/savings agreement/life insurance,39,none,own,1,unskilled-resident,2,no,no,good
0=<_and_<200,30,existing_dues_cleared_for_now,furniture/equipment,3832,<100,<1,2,male-married/widowed,none,1,building society/savings agreement/life insurance,22,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,business,1568,100=<_and_<500,1=<_and_<4,3,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,24,none,rent,1,unskilled-resident,1,no,no,good
<0,24,existing_dues_cleared_for_now,others,1755,<100,>7,4,female-divorced/separated/married,guarantor,4,real_estate,58,none,own,1,unskilled-resident,1,yes,no,good
no_checking_account,12,critical_account,business,1412,<100,1=<_and_<4,4,female-divorced/separated/married,guarantor,2,real_estate,29,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,good
0=<_and_<200,18,critical_account,furniture/equipment,1295,<100,<1,4,female-divorced/separated/married,none,1,building society/savings agreement/life insurance,27,none,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,36,existing_dues_cleared_for_now,education,12612,100=<_and_<500,1=<_and_<4,1,male-single,none,4,unknown/no_property,47,none,for_free,1,skilled_employee/official,2,yes,no,bad
<0,18,existing_dues_cleared_for_now,car (new),2249,100=<_and_<500,4=<_and_<7,4,male-single,none,3,car or other,30,none,own,1,management/self-employed/highly_qualified/officer,2,yes,no,good
no_checking_account,12,critical_account,radio/television,797,unknown_or_no_savings_account,>7,4,female-divorced/separated/married,none,3,building society/savings agreement/life insurance,33,bank,own,1,unskilled-resident,2,no,no,bad
>200,24,critical_account,furniture/equipment,3617,unknown_or_no_savings_account,>7,4,male-single,co-applicant,4,unknown/no_property,20,none,rent,2,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,car (new),1318,>1000,>7,4,male-single,none,4,real_estate,54,none,own,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,54,none_taken/all_dues_cleared,business,15945,<100,<1,3,male-single,none,4,unknown/no_property,58,none,rent,1,skilled_employee/official,1,yes,no,bad
0=<_and_<200,18,existing_dues_cleared_for_now,business,2622,100=<_and_<500,1=<_and_<4,4,male-single,none,4,car or other,34,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,20,delay_in_paying_off,car (used),7057,unknown_or_no_savings_account,4=<_and_<7,3,male-single,none,4,building society/savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly_qualified/officer,2,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,car (new),1469,100=<_and_<500,>7,4,male-married/widowed,none,4,real_estate,41,none,rent,1,unskilled-resident,1,no,no,good
0=<_and_<200,36,existing_dues_cleared_for_now,radio/television,2323,<100,4=<_and_<7,4,male-single,none,4,car or other,24,none,rent,1,skilled_employee/official,1,no,no,good
no_checking_account,6,delay_in_paying_off,radio/television,932,<100,1=<_and_<4,3,female-divorced/separated/married,none,2,real_estate,24,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,12,existing_dues_cleared_for_now,car (used),2445,unknown_or_no_savings_account,<1,2,male-married/widowed,none,4,car or other,26,none,rent,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,24,critical_account,others,11938,<100,1=<_and_<4,2,male-single,co-applicant,3,car or other,39,none,own,2,management/self-employed/highly_qualified/officer,2,yes,no,bad
no_checking_account,18,all_dues_atbank_cleared,car (new),6458,<100,>7,2,male-single,none,4,unknown/no_property,39,bank,own,2,management/self-employed/highly_qualified/officer,2,yes,no,bad
0=<_and_<200,12,existing_dues_cleared_for_now,car (new),6078,<100,4=<_and_<7,2,male-single,none,2,car or other,32,none,own,1,skilled_employee/official,1,no,no,good
<0,24,existing_dues_cleared_for_now,furniture/equipment,7721,unknown_or_no_savings_account,<1,1,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,30,none,own,1,skilled_employee/official,1,yes,yes,good
0=<_and_<200,14,existing_dues_cleared_for_now,business,1410,500=<_and_<1000,>7,1,male-married/widowed,none,2,real_estate,35,none,own,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,6,delay_in_paying_off,business,1449,100=<_and_<500,>7,1,male-divorced/separated,none,2,car or other,31,bank,own,2,skilled_employee/official,2,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,car (new),6260,<100,4=<_and_<7,3,male-single,none,3,real_estate,28,none,rent,1,unskilled-resident,1,no,no,good
no_checking_account,36,critical_account,car (new),7855,<100,1=<_and_<4,4,female-divorced/separated/married,none,2,real_estate,25,stores,own,2,skilled_employee/official,1,yes,no,bad
no_checking_account,48,critical_account,radio/television,3578,unknown_or_no_savings_account,>7,4,male-single,none,1,real_estate,47,none,own,1,skilled_employee/official,1,yes,no,good
<0,42,existing_dues_cleared_for_now,radio/television,7174,unknown_or_no_savings_account,4=<_and_<7,4,female-divorced/separated/married,none,3,car or other,30,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
<0,33,critical_account,furniture/equipment,4281,500=<_and_<1000,1=<_and_<4,1,female-divorced/separated/married,none,4,car or other,23,none,own,2,skilled_employee/official,1,no,no,bad
<0,21,existing_dues_cleared_for_now,radio/television,1835,<100,1=<_and_<4,3,female-divorced/separated/married,none,2,real_estate,25,none,own,2,skilled_employee/official,1,yes,no,bad
no_checking_account,24,critical_account,car (used),3868,<100,>7,4,female-divorced/separated/married,none,2,car or other,41,none,rent,2,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,12,existing_dues_cleared_for_now,furniture/equipment,1768,<100,1=<_and_<4,3,male-single,none,2,real_estate,24,none,rent,1,unskilled-resident,1,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,furniture/equipment,1924,unknown_or_no_savings_account,<1,4,female-divorced/separated/married,none,3,real_estate,27,none,rent,1,skilled_employee/official,1,no,no,bad
<0,12,critical_account,car (new),2121,<100,1=<_and_<4,4,male-single,none,2,building society/savings agreement/life insurance,30,none,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,repairs,639,<100,1=<_and_<4,4,male-single,none,2,car or other,30,none,own,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,12,critical_account,car (used),1860,<100,unemployed,4,male-single,none,2,car or other,34,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,12,critical_account,car (new),3499,<100,1=<_and_<4,3,female-divorced/separated/married,co-applicant,2,real_estate,29,none,own,2,skilled_employee/official,1,no,no,bad
0=<_and_<200,48,existing_dues_cleared_for_now,car (new),8487,unknown_or_no_savings_account,4=<_and_<7,1,female-divorced/separated/married,none,2,car or other,24,none,own,1,skilled_employee/official,1,no,no,good
<0,36,delay_in_paying_off,education,6887,<100,1=<_and_<4,4,male-single,none,3,building society/savings agreement/life insurance,29,stores,own,1,skilled_employee/official,1,yes,no,bad
no_checking_account,15,existing_dues_cleared_for_now,furniture/equipment,2708,<100,<1,2,male-single,none,3,building society/savings agreement/life insurance,27,bank,own,2,unskilled-resident,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,furniture/equipment,1984,<100,1=<_and_<4,4,male-single,none,4,unknown/no_property,47,bank,for_free,2,skilled_employee/official,1,no,no,good
no_checking_account,60,existing_dues_cleared_for_now,radio/television,10144,100=<_and_<500,4=<_and_<7,2,female-divorced/separated/married,none,4,real_estate,21,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,12,critical_account,radio/television,1240,unknown_or_no_savings_account,>7,4,female-divorced/separated/married,none,2,real_estate,38,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,27,delay_in_paying_off,car (used),8613,>1000,1=<_and_<4,2,male-single,none,2,car or other,27,none,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,766,500=<_and_<1000,1=<_and_<4,4,male-single,none,3,real_estate,66,none,own,1,unskilled-resident,1,no,no,bad
0=<_and_<200,15,critical_account,radio/television,2728,unknown_or_no_savings_account,4=<_and_<7,4,male-single,guarantor,2,real_estate,35,bank,own,3,skilled_employee/official,1,yes,no,good
>200,12,existing_dues_cleared_for_now,radio/television,1881,<100,1=<_and_<4,2,female-divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled-resident,1,yes,no,good
0=<_and_<200,36,existing_dues_cleared_for_now,radio/television,4795,<100,<1,4,female-divorced/separated/married,none,1,unknown/no_property,30,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,18,existing_dues_cleared_for_now,furniture/equipment,2462,<100,1=<_and_<4,2,male-single,none,2,car or other,22,none,own,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,48,all_dues_atbank_cleared,business,3566,100=<_and_<500,4=<_and_<7,4,male-single,none,2,car or other,30,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,12,critical_account,car (new),682,100=<_and_<500,4=<_and_<7,4,female-divorced/separated/married,none,3,car or other,51,none,own,2,skilled_employee/official,1,yes,no,good
<0,36,critical_account,furniture/equipment,5371,<100,1=<_and_<4,3,male-single,guarantor,2,building society/savings agreement/life insurance,28,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,10,existing_dues_cleared_for_now,radio/television,1924,<100,1=<_and_<4,1,male-single,none,4,building society/savings agreement/life insurance,38,none,own,1,skilled_employee/official,1,yes,yes,good
>200,36,existing_dues_cleared_for_now,radio/television,5848,<100,1=<_and_<4,4,male-single,none,1,car or other,24,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,24,critical_account,car (used),7758,>1000,>7,2,female-divorced/separated/married,none,4,unknown/no_property,29,none,rent,1,skilled_employee/official,1,no,no,good
0=<_and_<200,24,delay_in_paying_off,business,6967,100=<_and_<500,4=<_and_<7,4,male-single,none,4,car or other,36,none,rent,1,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,12,existing_dues_cleared_for_now,furniture/equipment,1282,<100,1=<_and_<4,2,female-divorced/separated/married,none,4,car or other,20,none,rent,1,skilled_employee/official,1,no,no,bad
<0,9,critical_account,repairs,1288,100=<_and_<500,>7,3,male-single,guarantor,4,real_estate,48,none,own,2,skilled_employee/official,2,no,yes,good
<0,12,all_dues_atbank_cleared,retraining,339,<100,>7,4,male-married/widowed,none,1,car or other,45,bank,own,1,unskilled-resident,1,no,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,car (new),3512,100=<_and_<500,4=<_and_<7,2,male-single,none,3,car or other,38,bank,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,6,critical_account,radio/television,1898,unknown_or_no_savings_account,1=<_and_<4,1,male-single,none,2,real_estate,34,none,own,2,unskilled-resident,2,no,no,good
no_checking_account,24,critical_account,radio/television,2872,100=<_and_<500,>7,3,male-single,none,4,real_estate,36,none,own,1,skilled_employee/official,2,yes,no,good
no_checking_account,18,critical_account,car (new),1055,<100,<1,4,female-divorced/separated/married,none,1,building society/savings agreement/life insurance,30,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,15,existing_dues_cleared_for_now,domestic appliances,1262,500=<_and_<1000,4=<_and_<7,4,male-single,none,3,building society/savings agreement/life insurance,36,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,36,existing_dues_cleared_for_now,car (new),909,500=<_and_<1000,>7,4,male-single,none,4,building society/savings agreement/life insurance,36,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,6,existing_dues_cleared_for_now,furniture/equipment,2978,500=<_and_<1000,1=<_and_<4,1,male-single,none,2,car or other,32,none,own,1,skilled_employee/official,1,yes,no,good
<0,18,existing_dues_cleared_for_now,furniture/equipment,1131,<100,unemployed,4,female-divorced/separated/married,none,2,car or other,33,none,own,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,11,existing_dues_cleared_for_now,furniture/equipment,1577,>1000,<1,4,female-divorced/separated/married,none,1,real_estate,20,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,24,critical_account,business,1935,<100,>7,4,male-divorced/separated,none,4,real_estate,31,none,own,2,skilled_employee/official,1,yes,no,bad
<0,15,none_taken/all_dues_cleared,car (new),950,<100,>7,4,male-single,none,3,car or other,33,none,rent,2,skilled_employee/official,2,no,no,bad
0=<_and_<200,24,delay_in_paying_off,furniture/equipment,2064,<100,unemployed,3,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,34,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
0=<_and_<200,8,existing_dues_cleared_for_now,radio/television,1414,<100,1=<_and_<4,4,male-single,guarantor,2,real_estate,33,none,own,1,skilled_employee/official,1,no,yes,good
<0,6,critical_account,radio/television,338,500=<_and_<1000,>7,4,male-single,none,4,car or other,52,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,12,existing_dues_cleared_for_now,radio/television,1963,<100,4=<_and_<7,4,male-single,none,2,car or other,31,none,rent,2,management/self-employed/highly_qualified/officer,2,yes,no,good
no_checking_account,36,delay_in_paying_off,business,9572,<100,<1,1,male-divorced/separated,none,1,car or other,28,none,own,2,skilled_employee/official,1,no,no,bad
0=<_and_<200,36,delay_in_paying_off,business,4455,<100,1=<_and_<4,2,male-divorced/separated,none,2,real_estate,30,stores,own,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
<0,21,all_dues_atbank_cleared,car (new),1647,unknown_or_no_savings_account,1=<_and_<4,4,male-single,none,2,building society/savings agreement/life insurance,40,none,own,2,unskilled-resident,2,no,no,bad
no_checking_account,24,critical_account,furniture/equipment,3777,>1000,1=<_and_<4,4,male-single,none,4,real_estate,50,none,own,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,18,critical_account,car (new),884,<100,>7,4,male-single,none,4,car or other,36,bank,own,1,skilled_employee/official,2,yes,no,bad
no_checking_account,15,critical_account,radio/television,1360,<100,1=<_and_<4,4,male-single,none,2,building society/savings agreement/life insurance,31,none,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,9,all_dues_atbank_cleared,car (used),5129,<100,>7,2,female-divorced/separated/married,none,4,unknown/no_property,74,bank,for_free,1,management/self-employed/highly_qualified/officer,2,yes,no,bad
0=<_and_<200,16,critical_account,car (new),1175,<100,unemployed,2,male-single,none,3,car or other,68,none,for_free,3,unemployed/unskilled-non_resident,1,yes,no,good
<0,12,existing_dues_cleared_for_now,radio/television,674,100=<_and_<500,4=<_and_<7,4,male-married/widowed,none,1,building society/savings agreement/life insurance,20,none,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,24,existing_dues_cleared_for_now,business,4591,>1000,1=<_and_<4,2,male-single,none,3,building society/savings agreement/life insurance,54,none,own,3,management/self-employed/highly_qualified/officer,1,yes,no,bad
0=<_and_<200,48,none_taken/all_dues_cleared,business,3844,100=<_and_<500,4=<_and_<7,4,male-single,none,4,unknown/no_property,34,none,for_free,1,unskilled-resident,2,no,no,bad
0=<_and_<200,27,existing_dues_cleared_for_now,business,3915,<100,1=<_and_<4,4,male-single,none,2,car or other,36,none,own,1,skilled_employee/official,2,yes,no,bad
0=<_and_<200,9,critical_account,education,1501,<100,>7,2,female-divorced/separated/married,none,3,car or other,34,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
0=<_and_<200,24,existing_dues_cleared_for_now,car (used),2760,unknown_or_no_savings_account,>7,4,male-single,none,4,unknown/no_property,36,bank,for_free,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,18,delay_in_paying_off,furniture/equipment,4297,<100,>7,4,male-divorced/separated,none,3,unknown/no_property,40,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,9,critical_account,education,936,500=<_and_<1000,>7,4,male-single,none,2,car or other,52,none,own,2,skilled_employee/official,1,yes,no,good
<0,12,existing_dues_cleared_for_now,car (new),1168,<100,1=<_and_<4,4,male-married/widowed,none,3,real_estate,27,none,own,1,unskilled-resident,1,no,no,good
no_checking_account,27,delay_in_paying_off,business,5117,<100,4=<_and_<7,3,male-single,none,4,car or other,26,none,own,2,skilled_employee/official,1,no,no,good
<0,12,existing_dues_cleared_for_now,retraining,902,<100,4=<_and_<7,4,male-married/widowed,none,4,building society/savings agreement/life insurance,21,none,rent,1,skilled_employee/official,1,no,no,bad
no_checking_account,12,critical_account,car (new),1495,<100,>7,4,male-single,none,1,real_estate,38,none,own,2,unskilled-resident,2,no,no,good
<0,30,critical_account,car (used),10623,<100,>7,3,male-single,none,4,unknown/no_property,38,none,for_free,3,management/self-employed/highly_qualified/officer,2,yes,no,good
no_checking_account,12,critical_account,furniture/equipment,1935,<100,>7,4,male-single,none,4,real_estate,43,none,own,3,skilled_employee/official,1,yes,no,good
